id,genre_ids,original_title,title,overview,vote_average
1010581,"[10749, 18]",Culpa mía,My Fault,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",7.915
1153291,"[53, 28]",Llamada privada,Private call,"A mysterious phone call will change the life of the writer Valentino Lombardi and his family. He will be violently harassed by a psychopath who will play the bloodiest and most macabre horror story with him. But that's not all, for years he has studied it and will take revenge by torturing anyone who meddles. They must fight to survive and face such an atrocity. Who is it? And what do you want?",7.0
988078,"[10749, 18, 35]",A través del mar,Through My Window: Across the Sea,"After a year of long-distance, Raquel and Ares reunite on a steamy beach trip. Faced with fresh flirtations and insecurities, will their love prevail?",6.541
1152774,"[18, 53]",Olvido,Olvido,"After the Turia River overflows its banks, journalist Olvido and police sergeant Fermín investigate the appearance of six bodies with strange scars that point to a dark conspiracy.",6.0
1151534,"[53, 18]",Nowhere,Nowhere,"A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.",7.396
1154864,"[27, 28, 18]",Malditas,Cursed,"The lives of six girls belong to different worlds although connected to each other through a doll called Molly, whose existence dates back to 1976, when she appeared among the rubble of the great fire of the San Carlos orphanage, in northern Spain",6.6
838240,"[16, 18, 35, 878]",Robot Dreams,Robot Dreams,A lonely dog's friendship with his robot companion takes a sad turn when an unexpected malfunction forces him to abandon Robot at the beach. Will Dog ever meet Robot again?,8.1
1150394,"[16, 35, 10751, 27]",La Leyenda de los Chaneques,La Leyenda de los Chaneques,"Five years after giving up his powers and separating from his friends, Leo San Juan has started a new life trying to focus on his family and their bakery, staying away from danger and adventures. However, Leo knows that his plans are rarely fulfilled and this time is no exception: while traveling with Nando to Veracruz, things start to get weird, and from the depths of the Tuxtlas jungle, an ancient curse has returned and only Leo can face it.",8.383
906126,"[18, 36]",La sociedad de la nieve,Society of the Snow,"On October 13, 1972, Uruguayan Air Force Flight 571, chartered to take a rugby team to Chile, crashes into a glacier in the heart of the Andes.",8.022
1196263,[27],Deus Irae,Deus Irae,"Father Javier lives a fractured existence: on one side, he helps families who've witnessed miracles, and on the other he belongs to a trio of excommunicated priests who hunt the possessed down to exorcise them under their own terms: with Bibles, fire and shotguns.",3.0
744857,"[27, 53]",Cuando acecha la maldad,When Evil Lurks,"Residents of a small rural town discover that a demon is about to be born among them. They desperately try to escape before the evil is born, but it may be too late.",7.3
868985,"[18, 35]",¡Que viva México!,¡Que viva México!,"After his grandfather's death, a man travels with his wife and kids to his hometown, where chaos ensues with his relatives over the inheritance.",7.3
1211836,[16],Momonsters: la película,Momonsters: la película,,0.0
772515,"[27, 9648, 18]",Huesera,Huesera: The Bone Woman,"Valeria's joy at becoming a first-time mother is quickly taken away when she's cursed by a sinister entity. As danger closes in, she's forced deeper into a chilling world of dark magic that threatens to consume her.",5.825
1117006,"[10751, 14]",Me contro Te: Il film - Vacanze in Transilvania,Me contro Te: Il film - Vacanze in Transilvania,,7.0
1053592,"[18, 28, 53]",Todos los nombres de Dios,All the Names of God,"After being implicated in a terrorist attack, Santi, a taxi driver, is taken hostage by one of the perpetrators.",6.4
816904,"[16, 12, 14]",Momias,Mummies,"Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.",7.0
805320,"[53, 878, 27]",Bird Box Barcelona,Bird Box Barcelona,"After a mysterious force decimates the world’s population, Sebastian must navigate his own survival journey through the desolate streets of Barcelona. As he forms uneasy alliances with other survivors and they try to escape the city, an unexpected and even more sinister threat grows.",5.916
1197406,"[28, 12, 35]",El Halcón: Sed de Venganza,The Hawk,Criminals control Mexico and wrestling is now illegal. A retired fighter and a policewoman join forces to stop the perfidious criminal who has kidnapped her son.,7.9
1087771,"[10749, 35]",Nada que ver,Nada que ver,"After Carlos is tasked to care for Paola, both characters must work out their differences to make their time together more pleasant. As time goes on, they are faced with lessons about trust, mutual respect, and perhaps love.",8.234
