iter	Passed	Remaining
0	8	4019
1	15	3742
2	22	3781
3	29	3671
4	37	3706
5	44	3675
6	52	3678
7	58	3619
8	65	3559
9	72	3557
10	79	3536
11	87	3540
12	94	3532
13	102	3562
14	109	3537
15	116	3518
16	123	3504
17	130	3487
18	137	3479
19	144	3460
20	151	3449
21	157	3421
22	163	3397
23	171	3393
24	177	3370
25	184	3360
26	190	3341
27	196	3319
28	204	3319
29	210	3299
30	217	3292
31	223	3267
32	229	3247
33	236	3242
34	242	3221
35	248	3208
36	255	3193
37	261	3177
38	268	3169
39	274	3153
40	280	3139
41	286	3127
42	292	3112
43	300	3110
44	306	3097
45	312	3086
46	320	3084
47	326	3072
48	333	3067
49	339	3059
50	347	3057
51	354	3056
52	362	3055
53	369	3049
54	375	3038
55	382	3033
56	388	3022
57	395	3011
58	402	3009
59	409	3000
60	416	2996
61	422	2987
62	429	2976
63	436	2971
64	442	2962
65	449	2957
66	456	2947
67	462	2939
68	469	2930
69	475	2919
70	481	2911
71	488	2902
72	494	2893
73	501	2887
74	508	2880
75	515	2874
76	521	2866
77	528	2857
78	534	2849
79	541	2842
80	548	2838
81	554	2827
82	561	2822
83	568	2815
84	574	2805
85	581	2798
86	588	2791
87	594	2784
88	601	2778
89	607	2769
90	615	2766
91	621	2757
92	628	2750
93	635	2744
94	641	2733
95	648	2727
96	654	2718
97	661	2712
98	667	2704
99	673	2694
100	680	2689
101	686	2679
102	693	2671
103	699	2663
104	705	2654
105	712	2647
106	719	2641
107	725	2632
108	732	2627
109	738	2617
110	745	2613
111	752	2605
112	758	2596
113	764	2589
114	770	2580
115	777	2574
116	784	2567
117	790	2559
118	797	2553
119	803	2544
120	810	2537
121	817	2532
122	823	2525
123	830	2519
124	837	2511
125	843	2504
126	850	2496
127	856	2488
128	863	2482
129	869	2474
130	875	2467
131	882	2459
132	888	2451
133	895	2446
134	901	2437
135	908	2431
136	914	2423
137	921	2416
138	928	2411
139	934	2403
140	941	2396
141	947	2387
142	953	2379
143	959	2372
144	965	2364
145	971	2356
146	979	2352
147	986	2346
148	994	2342
149	1001	2337
150	1009	2333
151	1016	2327
152	1024	2324
153	1031	2317
154	1038	2311
155	1046	2306
156	1053	2301
157	1060	2295
158	1067	2290
159	1076	2287
160	1083	2281
161	1091	2277
162	1099	2272
163	1106	2266
164	1114	2261
165	1121	2255
166	1128	2250
167	1135	2243
168	1142	2237
169	1150	2233
170	1158	2228
171	1164	2221
172	1172	2216
173	1179	2210
174	1187	2205
175	1195	2200
176	1200	2191
177	1207	2184
178	1213	2176
179	1219	2168
180	1226	2162
181	1232	2153
182	1239	2147
183	1246	2140
184	1252	2132
185	1259	2125
186	1265	2117
187	1271	2110
188	1278	2103
189	1284	2095
190	1291	2090
191	1298	2083
192	1305	2076
193	1311	2068
194	1317	2060
195	1323	2053
196	1329	2045
197	1336	2038
198	1342	2030
199	1348	2022
200	1355	2016
201	1361	2008
202	1367	2000
203	1374	1994
204	1380	1986
205	1387	1979
206	1393	1972
207	1399	1965
208	1406	1958
209	1412	1951
210	1419	1944
211	1425	1937
212	1431	1929
213	1438	1922
214	1443	1914
215	1450	1906
216	1457	1900
217	1463	1892
218	1469	1885
219	1476	1878
220	1483	1872
221	1491	1867
222	1498	1861
223	1505	1855
224	1512	1848
225	1519	1842
226	1526	1835
227	1532	1828
228	1539	1821
229	1545	1814
230	1552	1807
231	1558	1800
232	1564	1793
233	1571	1786
234	1577	1778
235	1584	1772
236	1590	1765
237	1596	1757
238	1603	1750
239	1609	1743
240	1615	1735
241	1621	1728
242	1627	1721
243	1634	1714
244	1640	1707
245	1647	1700
246	1654	1694
247	1660	1687
248	1667	1681
249	1674	1674
250	1683	1669
251	1690	1663
252	1697	1657
253	1705	1651
254	1711	1644
255	1718	1637
256	1724	1630
257	1730	1622
258	1737	1616
259	1743	1609
260	1749	1602
261	1756	1595
262	1762	1588
263	1769	1581
264	1775	1574
265	1782	1568
266	1788	1560
267	1794	1553
268	1801	1547
269	1807	1539
270	1813	1532
271	1819	1525
272	1825	1518
273	1832	1511
274	1838	1504
275	1843	1496
276	1850	1490
277	1856	1482
278	1862	1475
279	1869	1469
280	1875	1461
281	1882	1455
282	1888	1448
283	1894	1441
284	1902	1434
285	1908	1427
286	1914	1421
287	1921	1414
288	1927	1407
289	1934	1401
290	1940	1393
291	1947	1386
292	1953	1380
293	1959	1373
294	1966	1366
295	1972	1359
296	1978	1352
297	1985	1345
298	1991	1338
299	1998	1332
300	2004	1325
301	2010	1318
302	2017	1311
303	2023	1304
304	2029	1297
305	2035	1290
306	2042	1283
307	2048	1277
308	2054	1269
309	2060	1262
310	2066	1256
311	2072	1249
312	2079	1242
313	2086	1235
314	2092	1228
315	2099	1222
316	2105	1215
317	2111	1208
318	2118	1201
319	2124	1194
320	2130	1188
321	2137	1181
322	2144	1175
323	2151	1168
324	2157	1161
325	2164	1155
326	2171	1148
327	2178	1142
328	2184	1135
329	2191	1129
330	2199	1122
331	2205	1115
332	2211	1109
333	2218	1102
334	2223	1095
335	2230	1088
336	2236	1081
337	2242	1074
338	2249	1068
339	2255	1061
340	2262	1054
341	2268	1048
342	2274	1041
343	2281	1034
344	2288	1028
345	2295	1021
346	2301	1014
347	2307	1007
348	2314	1001
349	2320	994
350	2326	987
351	2332	980
352	2338	973
353	2345	967
354	2351	960
355	2358	953
356	2365	947
357	2371	940
358	2378	934
359	2385	927
360	2392	921
361	2399	914
362	2405	908
363	2413	901
364	2419	894
365	2426	888
366	2432	881
367	2439	875
368	2446	868
369	2452	861
370	2459	855
371	2467	849
372	2474	842
373	2481	836
374	2489	829
375	2496	823
376	2502	816
377	2509	810
378	2517	803
379	2524	797
380	2530	790
381	2537	783
382	2544	777
383	2550	770
384	2557	764
385	2564	757
386	2570	750
387	2577	743
388	2583	737
389	2590	730
390	2597	724
391	2603	717
392	2611	711
393	2618	704
394	2625	697
395	2631	691
396	2639	684
397	2645	677
398	2651	671
399	2658	664
400	2665	658
401	2672	651
402	2679	644
403	2685	638
404	2692	631
405	2699	625
406	2706	618
407	2717	612
408	2727	606
409	2736	600
410	2745	594
411	2753	588
412	2760	581
413	2766	574
414	2773	568
415	2780	561
416	2787	554
417	2792	547
418	2799	541
419	2806	534
420	2812	527
421	2819	521
422	2826	514
423	2832	507
424	2839	501
425	2846	494
426	2852	487
427	2859	481
428	2865	474
429	2872	467
430	2878	460
431	2885	454
432	2891	447
433	2898	440
434	2905	434
435	2911	427
436	2917	420
437	2924	413
438	2930	407
439	2936	400
440	2942	393
441	2948	386
442	2955	380
443	2961	373
444	2967	366
445	2973	360
446	2979	353
447	2986	346
448	2993	339
449	3000	333
450	3006	326
451	3013	320
452	3022	313
453	3028	306
454	3035	300
455	3041	293
456	3047	286
457	3054	280
458	3060	273
459	3066	266
460	3073	259
461	3079	253
462	3086	246
463	3092	239
464	3098	233
465	3105	226
466	3111	219
467	3117	213
468	3124	206
469	3130	199
470	3137	193
471	3143	186
472	3149	179
473	3156	173
474	3162	166
475	3169	159
476	3175	153
477	3181	146
478	3187	139
479	3193	133
480	3200	126
481	3206	119
482	3212	113
483	3219	106
484	3225	99
485	3232	93
486	3239	86
487	3245	79
488	3252	73
489	3258	66
490	3264	59
491	3270	53
492	3276	46
493	3284	39
494	3290	33
495	3297	26
496	3303	19
497	3309	13
498	3315	6
499	3321	0
